Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Truy cap Trang Chu,200,126,0,2823,390.41,75.000%,.34095,11.21,0.02,33682.0
TOTAL,200,126,0,2823,390.41,75.000%,.34095,11.21,0.02,33682.0
